id,province_id,name
1,1,Kabupaten Aceh Barat
2,1,Kabupaten Aceh Barat Daya
3,1,Kabupaten Aceh Besar
4,1,Kabupaten Aceh Jaya
5,1,Kabupaten Aceh Selatan
6,1,Kabupaten Aceh Singkil
7,1,Kabupaten Aceh Tamiang
8,1,Kabupaten Aceh Tengah
9,1,Kabupaten Aceh Tenggara
10,1,Kabupaten Aceh Timur
11,1,Kabupaten Aceh Utara
12,1,Kabupaten Bener Meriah
13,1,Kabupaten Bireuen
14,1,Kabupaten Gayo Lues
15,1,Kabupaten Nagan Raya
16,1,Kabupaten Pidie
17,1,Kabupaten Pidie Jaya
18,1,Kabupaten Simeulue
19,1,Kota Banda Aceh
20,1,Kota Langsa
21,1,Kota Lhokseumawe
22,1,Kota Sabang
23,1,Kota Subulussalam

